strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Ulcer Index,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,Average Scale While Invested,2022 Return,2023+ CAGR,family,scaling,scaling_description,idle_asset
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,0.0,Full Sample,2018-01-02,2026-04-06,4.242285942679537,0.22218490562773874,-0.45376709531769843,12.289476396672763,0.28072684673974696,0.8588316522923697,0.7815258833708268,0.08905867324521553,0.215438783952883,1.1609399653426304,1.0477230035537635,1.2709411631042637,0.39472582248261745,0.5552741775173825,0.05000000000000001,1.0,-0.16094744943638484,0.23936904849801577,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,0.0,2018-2021,2018-01-02,2021-12-31,2.1069556472710964,0.3281663927150231,-0.45376709531769843,12.322846398078944,0.334353372426739,1.0176317003157958,0.9671311951016509,0.08208563798729981,0.3093997883709956,1.3397056295040042,1.395244301088106,1.4919740928668712,0.43513857652365107,0.5148614234763489,0.05000000000000001,1.0,,,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,0.0,2022,2022-01-03,2022-12-30,-0.16094744943638484,-0.16267907817181815,-0.173582350804786,17.001059080421417,0.08557716831817376,-2.014394170934097,0.050816564904472866,-0.15490826220785045,0.5430141358690368,0.0,0.2594420412521325,0.5123798992435283,0.02760634600380159,0.9223936539961983,0.05,1.0,-0.16094744943638484,,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,0.0,2023+,2023-01-03,2026-04-06,1.010927857718519,0.23936904849801577,-0.20112252200733705,7.4978709760907565,0.24452661592043692,1.0052177200139962,1.0226352735213382,-0.031071375084307257,-0.18263188449796178,1.173966229471908,1.8103207473867882,1.237509842559109,0.4577294162605843,0.4922705837394158,0.049999999999999996,1.0,,0.23936904849801577,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,5.0,Full Sample,2018-01-02,2026-04-06,4.214607628252569,0.2214016120642941,-0.45450815236059816,12.312902785022494,0.28074631233462827,0.8565022143669392,0.7815519553408492,0.08841633775302711,0.21247177597787437,1.1600252335628722,1.0491327629611817,1.2709411631042637,0.39472582248261745,0.5552741775173825,0.05000000000000001,1.0,-0.16116194497811231,0.23860213021458554,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,5.0,2018-2021,2018-01-02,2021-12-31,2.0975770842524106,0.3271615903791061,-0.45450815236059816,12.347924507066454,0.33438441204581365,1.015309364949122,0.9671756343689019,0.08132880966354648,0.3062136200379145,1.338531750704874,1.3968233371352026,1.4919740928668712,0.43513857652365107,0.5148614234763489,0.05000000000000001,1.0,,,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,5.0,2022,2022-01-03,2022-12-30,-0.16116194497811231,-0.16289565072673018,-0.17379361635810353,17.021359227031468,0.08560362025215838,-2.0167414213908534,0.05083255209900963,-0.15515698131873423,0.5422061138689629,0.0,0.25978780202173,0.5123798992435283,0.02760634600380159,0.9223936539961983,0.05,1.0,-0.16116194497811231,,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,5.0,2023+,2023-01-03,2026-04-06,1.00687992306363,0.23860213021458554,-0.20112252200733738,7.51404066842126,0.24452916895342147,1.0026633836755685,1.0226426410876925,-0.031695413207551454,-0.18718311649947095,1.173201762973768,1.8132859150732097,1.237509842559109,0.4577294162605843,0.4922705837394158,0.049999999999999996,1.0,,0.23860213021458554,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,10.0,Full Sample,2018-01-02,2026-04-06,4.187070091054176,0.22061866778261519,-0.4552484074898324,12.336370087224848,0.28076620442951444,0.8541718019050476,0.7815780273108718,0.08777400226083862,0.20950473616006277,1.1591106029525906,1.050542028521661,1.2709411631042637,0.39472582248261745,0.5552741775173825,0.05000000000000001,1.0,-0.16137641614661047,0.23783555983197258,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_continuous::baseline::boxx,hybrid_tqqq_continuous::baseline::boxx,10.0,2018-2021,2018-01-02,2021-12-31,2.0882247812541586,0.3261573278469072,-0.4552484074898324,12.373041738693804,0.33441591689916594,1.0129860514367852,0.9672200736361527,0.08057198133979317,0.3030274902377578,1.3373579902663526,1.3984015827870235,1.4919740928668712,0.43513857652365107,0.5148614234763489,0.05000000000000001,1.0,,,hybrid_growth_tqqq_continuous_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
