strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,2022 Return,2023+ CAGR,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,TQQQ Days Share,Raw Gate True Share,Gate Active Share,Gate Flips/Year,family,overlay,overlay_description,idle_asset,entry_confirm_days,exit_confirm_days,income_mode,safe_haven_symbols
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,0.0,Full Sample,2018-01-02,2026-04-02,1.5447729001621067,0.11993032779089252,-0.18934585901835888,0.1347364537604419,0.9100367412495289,0.4099690262673323,0.04315745761838241,-0.4222930753358659,0.5753902355888708,0.5012169524428787,0.5580739307559698,-0.07690045827933722,0.18030751328133388,0.1554925840614345,0.2527745810523886,0.021487745532306486,0.7005785920925748,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,0.0,2018-2021,2018-01-02,2021-12-31,0.6099883431008604,0.1266176769285834,-0.18934585901835888,0.12569393545385185,1.0105561002059245,0.36473476966414065,0.029659642899056676,-0.7832240950224705,0.5045219036512586,0.5241258962606313,0.7091383239316892,,,0.16705736041094224,0.2711034535236502,0.02306109547024171,0.6726190476190477,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,0.0,2022,2022-01-03,2022-12-30,-0.07690045827933722,-0.07776964787574947,-0.10041390236820846,0.04895639365702776,-1.616158086168676,0.07237120954378123,-0.054229874219487405,0.8805475135683589,0.11843101123725515,0.17490081855996265,0.21792756412725708,-0.07690045827933722,,0.011753992958704945,0.368246007041295,0.019999999999999997,0.06772908366533864,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,0.0,2023+,2023-01-03,2026-04-02,0.7122917502662982,0.18030751328133388,-0.17756297485548866,0.16080042644407583,1.1150221128673377,0.7665994068994182,-0.026911381049140145,-1.2878844720583564,0.7732901269957135,1.0291421077753011,0.4789991680765458,,0.18030751328133388,0.18545711388533806,0.1945428861146619,0.020000000000000004,0.9300613496932515,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,5.0,Full Sample,2018-01-02,2026-04-02,1.5389159803853785,0.11961744182187539,-0.189709110693409,0.13474001050913065,0.9079377017261492,0.4099692819128998,0.04287782023528366,-0.4239444344134351,0.5749562756235569,0.5017907955809267,0.5580739307559698,-0.0770002766318435,0.1800248701605136,0.1554925840614345,0.2527745810523886,0.021487745532306486,0.7005785920925748,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,5.0,2018-2021,2018-01-02,2021-12-31,0.6077052969077286,0.1262175162327479,-0.189709110693409,0.125700299368391,1.007688049153489,0.3647327688887755,0.029306093196383345,-0.7851835774546568,0.5039009974839752,0.5247405641030995,0.7091383239316892,,,0.16705736041094224,0.2711034535236502,0.02306109547024171,0.6726190476190477,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,5.0,2022,2022-01-03,2022-12-30,-0.0770002766318435,-0.07787054621546174,-0.10051117812032906,0.04896474514649518,-1.6180906528327792,0.07237783060801257,-0.05433572192810148,0.8801906429281416,0.11843101123725515,0.1750627861942472,0.21792756412725708,-0.0770002766318435,,0.011753992958704945,0.368246007041295,0.019999999999999997,0.06772908366533864,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,5.0,2023+,2023-01-03,2026-04-02,0.7109618090998209,0.1800248701605136,-0.17775667928803107,0.16080129245731234,1.1135219850155464,0.7666020026312627,-0.02715233614801035,-1.2913243966090404,0.773015205881233,1.030361399133246,0.4789991680765458,,0.1800248701605136,0.18545711388533806,0.1945428861146619,0.020000000000000004,0.9300613496932515,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,10.0,Full Sample,2018-01-02,2026-04-02,1.5330719315817252,0.11930461063335107,-0.19007223484330593,0.13474378106228957,0.9058373356788906,0.40996953755846727,0.04259818285218488,-0.42559530813428087,0.5745223585190785,0.5023645699371859,0.5580739307559698,-0.07710009015346475,0.17974227487983452,0.1554925840614345,0.2527745810523886,0.021487745532306486,0.7005785920925748,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
hybrid_growth_income_runtime_full_reference,hybrid_growth_income_runtime_full_reference,10.0,2018-2021,2018-01-02,2021-12-31,0.6054252001864755,0.12581744710839504,-0.19007223484330593,0.12570701474610518,1.004817479123382,0.3647307681134102,0.028952543493710008,-0.7871418570521677,0.5032801640942126,0.5253551306946351,0.7091383239316892,,,0.16705736041094224,0.2711034535236502,0.02306109547024171,0.6726190476190477,1.0,1.0,0.0,hybrid_growth_runtime_full_reference,baseline,Current runtime full strategy with income layer and BOXX idle asset.,BOXX,0,0,runtime_full_reference,
