strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,2022 Return,2023+ CAGR,family,throttle,throttle_description,idle_asset
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,0.0,Full Sample,2018-01-02,2026-04-02,4.241857546508401,0.22249849042580805,-0.45376701841858935,0.85900388849641,0.7815971757411474,0.08971907649179979,0.21925408134080984,1.1634554218904438,1.0477226729074718,1.2726292618630546,0.39491614657904006,0.5550838534209599,0.05000000000000001,-0.1609475066439653,0.24023596705726447,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,0.0,2018-2021,2018-01-02,2021-12-31,2.106955535298883,0.3281663807321038,-0.45376701841858935,1.0176317710319978,0.9671328504862722,0.082085275683285,0.30940054890555874,1.3397051955338386,1.3952426845101944,1.4919741158000244,0.43513858646664244,0.5148614135333576,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,0.0,2022,2022-01-03,2022-12-30,-0.1609475066439653,-0.16267913593344063,-0.1735824461427301,-2.014398157427906,0.050816425131225175,-0.15490840642091103,0.5430127078288111,0.0,0.2594421696790773,0.5123799214934135,0.027606347320967776,0.9223936526790323,0.05,-0.1609475066439653,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,0.0,2023+,2023-01-03,2026-04-02,1.0107637355746082,0.24023596705726447,-0.20112252329052693,1.0057331810227248,1.0229342202720788,-0.029080005221517068,-0.16771058719442872,1.1805460110589923,1.810321039511985,1.2416877216203905,0.4582910425386388,0.4917089574613613,0.05,,0.24023596705726447,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,5.0,Full Sample,2018-01-02,2026-04-02,4.214181488805429,0.22171395557787577,-0.4545080755445108,0.8566738865103458,0.7816232176421879,0.08907645837898656,0.21628584259521003,1.162538687229806,1.0491324316288908,1.2726292618630546,0.39491614657904006,0.5550838534209599,0.05000000000000001,-0.16116200218689214,0.2394659221932549,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,5.0,2018-2021,2018-01-02,2021-12-31,2.097576972658132,0.3271615784095361,-0.4545080755445108,1.0153094354252301,0.9671772900106957,0.08132844728422323,0.3062143762940255,1.3385313171536564,1.39682171816517,1.4919741158000244,0.43513858646664244,0.5148614135333576,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,5.0,2022,2022-01-03,2022-12-30,-0.16116200218689214,-0.16289570848938983,-0.173793711687261,-2.016745407301989,0.05083241201605523,-0.15515712565433468,0.542204685874988,0.0,0.2597879304988655,0.5123799214934135,0.027606347320967776,0.9223936526790323,0.05,-0.16116200218689214,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,5.0,2023+,2023-01-03,2026-04-02,1.0067161293302096,0.2394659221932549,-0.20112252329052704,1.0031772612725123,1.0229414800212788,-0.02970476496766528,-0.1722664675702314,1.1797772150820038,1.8132862079662166,1.2416877216203905,0.4582910425386388,0.4917089574613613,0.05,,0.2394659221932549,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,10.0,Full Sample,2018-01-02,2026-04-02,4.186646196881026,0.22092977123305646,-0.4552483307566918,0.8543429098286415,0.7816492595432278,0.08843384026617347,0.21331756270500876,1.1616220539601687,1.0505416965036591,1.2726292618630546,0.39491614657904006,0.5550838534209599,0.05000000000000001,-0.16137647335658778,0.2386962282570264,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,10.0,2018-2021,2018-01-02,2021-12-31,2.088224670036674,0.3261573158906803,-0.4552483307566918,1.0129861216717528,0.9672217295351191,0.08057161888516148,0.3030282422114662,1.3373575571340368,1.3983999614261473,1.4919741158000244,0.43513858646664244,0.5148614135333576,0.05,,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,10.0,2022,2022-01-03,2022-12-30,-0.16137647335658778,-0.16311225578424127,-0.17400495322558696,-2.0190816607112607,0.05084839890088527,-0.15540584488775847,0.5413964821132139,0.0,0.2601336520296864,0.5123799214934135,0.027606347320967776,0.9223936526790323,0.05,-0.16137647335658778,,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::boxx,hybrid_tqqq_followup::baseline::boxx,10.0,2023+,2023-01-03,2026-04-02,1.0026760036799964,0.2386962282570264,-0.20112252329052693,1.0006197054369317,1.0229487397704793,-0.03032952471381362,-0.17682122438568088,1.1790085197881612,1.816250611550341,1.2416877216203905,0.4582910425386388,0.4917089574613613,0.05,,0.2386962282570264,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",BOXX
hybrid_tqqq_followup::baseline::qqq,hybrid_tqqq_followup::baseline::qqq,0.0,Full Sample,2018-01-02,2026-04-02,6.90742291303007,0.28499120911976106,-0.49936213570489874,0.8689299350010367,1.4396508564664416,0.040650760563404234,0.7503313176435361,1.6610819079205674,1.6624483273691884,1.2426021610492208,0.3786503610917339,0.5713496389082661,0.05000000000000001,-0.3875967515463894,0.38729580848839285,hybrid_growth_tqqq_attack_followup,baseline,"Current MA200 + ATR staged TQQQ logic, no extra throttle.",QQQ
