strategy,display_name,cost_bps_one_way,period,Start,End,Total Return,CAGR,Max Drawdown,Ulcer Index,Volatility,Sharpe,Beta vs QQQ,Alpha Ann vs QQQ,Information Ratio vs QQQ,Up Capture vs QQQ,Down Capture vs QQQ,Turnover/Year,Average TQQQ Weight,Average Idle Asset Weight,Average Cash Weight,Average Scale While Invested,2022 Return,2023+ CAGR,family,scaling,scaling_description,idle_asset
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,10.0,2022,2022-01-03,2022-12-30,-0.1613764389322091,-0.16311222102667988,-0.1740049192752705,17.041663668418124,0.08563056739264263,-2.0190757728925353,0.050848434369750756,-0.15540577108423922,0.5413963348834626,0.0,0.2601334509141986,0.5123799195847096,0.027606347089391997,0.9223936529106079,0.05,1.0,-0.1613764389322091,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::boxx,hybrid_tqqq_scaling::baseline::boxx,10.0,2023+,2023-01-03,2026-04-02,1.002676119852417,0.2386962504047463,-0.20112248792367204,7.51648649398249,0.24468162221025144,1.0006197135790358,1.0229485077215295,-0.03032945038139499,-0.1768211078913804,1.1790084599946409,1.8162499181378562,1.2416874485412759,0.4582910429816177,0.4917089570183824,0.05,1.0,,0.2386962504047463,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,BOXX
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,0.0,Full Sample,2018-01-02,2026-04-02,6.907423037176722,0.2849912115662059,-0.4993622291355213,17.08335293191642,0.36789507418963946,0.8689298580639737,1.4396500277350464,0.040650850247270255,0.7503312775133378,1.6610823479577816,1.66244928972698,1.242602113024156,0.3786503606556797,0.5713496393443203,0.05000000000000001,1.0,-0.38759675919467107,0.38729582967176523,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,0.0,2018-2021,2018-01-02,2021-12-31,3.464273399977465,0.45432130329894105,-0.4993622291355213,12.219056968295094,0.4020258221813158,1.1350426113129868,1.537227913129752,0.04597362689508486,0.9706876164089591,1.7696686604562881,1.852488799317836,1.5125478933229402,0.40351837337433744,0.5464816266256625,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,0.0,2022,2022-01-03,2022-12-30,-0.38759675919467107,-0.3911219699670473,-0.41282898947336777,31.462087250189345,0.32019083450294716,-1.37552634599831,0.9831470124386541,-0.10228691127073734,-1.7499545501216582,0.9513806498497431,1.1149551582509316,0.5058864265927978,0.027191235059760958,0.922808764940239,0.05,1.0,-0.38759675919467107,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,0.0,2023+,2023-01-03,2026-04-02,1.8923224571312405,0.38729582967176523,-0.32071858140331144,9.601123601649789,0.3348739401273945,1.148998148546468,1.6248578662632154,-0.05230064036161274,0.75512878476614,1.670040930711379,2.282175898750364,1.1420128169372057,0.456134144341776,0.4938658556582241,0.05,1.0,,0.38729582967176523,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,5.0,Full Sample,2018-01-02,2026-04-02,6.866659754665163,0.28418610138095324,-0.49982699537146513,17.10017703092772,0.36790779677873486,0.8672077345817509,1.4396755448352243,0.04002337706037221,0.7465344684799274,1.6601554596144081,1.663823233013574,1.242602113024156,0.3786503606556797,0.5713496393443203,0.05000000000000001,1.0,-0.38775218252187793,0.3865033426282003,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,5.0,2018-2021,2018-01-02,2021-12-31,3.450630394504575,0.453207386760921,-0.49982699537146513,12.23692950836031,0.4020467578001082,1.1331050220441732,1.5372696261305623,0.04520725349303614,0.9666659036359151,1.7684166655698714,1.8540857995650841,1.5125478933229402,0.40351837337433744,0.5464816266256625,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,5.0,2022,2022-01-03,2022-12-30,-0.38775218252187793,-0.39127831763190657,-0.41297800905068993,31.478236428800237,0.32020053815235344,-1.3762685321042323,0.9831637408863653,-0.10253215369698532,-1.7537079975325178,0.9513806498497431,1.115288607876213,0.5058864265927978,0.027191235059760958,0.922808764940239,0.05,1.0,-0.38775218252187793,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,5.0,2023+,2023-01-03,2026-04-02,1.8869654835771938,0.3865033426282003,-0.3211199338433649,9.612987986459109,0.3348768231439471,1.1472777413638375,1.6248674623942565,-0.0528760335340464,0.751374065832975,1.6693524826593085,2.2849699561746517,1.1420128169372057,0.456134144341776,0.4938658556582241,0.05,1.0,,0.3865033426282003,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,10.0,Full Sample,2018-01-02,2026-04-02,6.826099146257124,0.28338134722268116,-0.5002914262034555,17.117026277161745,0.3679208194287109,0.8654850243465517,1.439701061935403,0.039395903873474025,0.7427356221661006,1.659228664221504,1.66519671493617,1.242602113024156,0.3786503606556797,0.5713496393443203,0.05000000000000001,1.0,-0.38790758880583176,0.3857111755535678,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,10.0,2018-2021,2018-01-02,2021-12-31,3.4370263926017826,0.45209410302043906,-0.5002914262034555,12.25483277400584,0.4020680464109955,1.1311666414568144,1.5373113391313722,0.04444088009098757,0.9626418691018978,1.7671648010900107,1.8556820485002423,1.5125478933229402,0.40351837337433744,0.5464816266256625,0.05,1.0,,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,10.0,2022,2022-01-03,2022-12-30,-0.38790758880583176,-0.3914346476849666,-0.4131270122869748,31.494384594920643,0.3202103500344993,-1.377010207791082,0.9831804693340765,-0.10277739612323324,-1.757438341914792,0.9513806498497431,1.115622020936412,0.5058864265927978,0.027191235059760958,0.922808764940239,0.05,1.0,-0.38790758880583176,,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::baseline::qqq,hybrid_tqqq_scaling::baseline::qqq,10.0,2023+,2023-01-03,2026-04-02,1.881617536333859,0.3857111755535678,-0.32152111227747526,9.624892886058332,0.33487998774889427,1.1455564005460623,1.6248770585252972,-0.053451426706479954,0.7476165361475234,1.6686640970224604,2.2877633214405417,1.1420128169372057,0.456134144341776,0.4938658556582241,0.05,1.0,,0.3857111755535678,hybrid_growth_tqqq_position_scaling,baseline,No extra scaling; use the existing MA200 + ATR staged TQQQ sizing as-is.,QQQ
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,0.0,Full Sample,2018-01-02,2026-04-02,3.39710381670717,0.1967228234457934,-0.3202856721598274,10.874140683764526,0.22699191664610752,0.907461521466919,0.5909389093060463,0.09145426446198583,0.06000653316801401,0.928979706241694,0.7662814888257097,7.243383573213819,0.3533065779734249,0.596693422026575,0.05000000000000001,0.8997591190640056,-0.10845399026601144,0.16140954928439455,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,0.0,2018-2021,2018-01-02,2021-12-31,2.035200560968969,0.3204200014276639,-0.3202856721598274,8.773742487522183,0.26440530405587354,1.1839998490713017,0.7099814314012866,0.12353561695119994,0.2176590432527138,1.0985256126318625,0.9203565211622895,7.339504010277546,0.39352521900102594,0.556474780998974,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,0.0,2022,2022-01-03,2022-12-30,-0.10845399026601144,-0.10965810328638503,-0.12171908392726316,11.963623591350231,0.06259573949801955,-1.808910009159374,0.03387920804387443,-0.10157762994270202,0.7299560309434798,0.0,0.17482399066748888,0.7335353185595568,0.015912574067150406,0.9340874259328494,0.05,0.5676470588235294,-0.10845399026601144,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,0.0,2023+,2023-01-03,2026-04-02,0.6249333984411465,0.16140954928439455,-0.18206243350186369,7.860973602655189,0.2079980531592066,0.8263191669077649,0.8166513730103669,-0.047798103997025616,-0.7176560649357311,0.9032998903491934,1.525658873388605,9.15099470170893,0.4074728415619563,0.5425271584380438,0.05,0.8835092348284961,,0.16140954928439455,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,5.0,Full Sample,2018-01-02,2026-04-02,3.2679658377358143,0.19240476802792195,-0.3209738840406271,10.956462327382702,0.22696907315102427,0.8915645887852575,0.5908638537393487,0.08783996960342406,0.042118495286873434,0.9223842048083035,0.7722536448251007,7.243383573213819,0.3533065779734249,0.596693422026575,0.05000000000000001,0.8997591190640056,-0.10877963244601341,0.15611184561134706,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,5.0,2018-2021,2018-01-02,2021-12-31,1.9911766658108268,0.31559915952444495,-0.3209738840406271,8.806594503267243,0.26436970222443906,1.1702971600153889,0.7098638315769003,0.11990228029214917,0.20037405934038793,1.0917681708994946,0.9265152992574218,7.339504010277546,0.39352521900102594,0.556474780998974,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,5.0,2022,2022-01-03,2022-12-30,-0.10877963244601341,-0.1099871335096042,-0.12200742455306912,11.99186555068204,0.06263654302149631,-1.8135420387556096,0.033897347548176616,-0.10193533525669467,0.728799514248773,0.0,0.17534891646570275,0.7335353185595568,0.015912574067150406,0.9340874259328494,0.05,0.5676470588235294,-0.10877963244601341,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,5.0,2023+,2023-01-03,2026-04-02,0.6010089774752778,0.15611184561134706,-0.18393279540250984,7.957515622102983,0.20799235185652207,0.8042738667802822,0.8166421696737669,-0.0523855933100213,-0.7516078678715116,0.895464953516533,1.5407873260357359,9.15099470170893,0.4074728415619563,0.5425271584380438,0.05,0.8835092348284961,,0.15611184561134706,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,10.0,Full Sample,2018-01-02,2026-04-02,3.1426068500097086,0.18810181858747477,-0.32166154943154857,11.03916782978893,0.22694776238670628,0.8756585419103469,0.5907887981726514,0.08422567474486223,0.024229466909372062,0.915791655908414,0.7782235752420342,7.243383573213819,0.3533065779734249,0.596693422026575,0.05000000000000001,0.8997591190640056,-0.10910518133597724,0.15083779340528802,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,10.0,2018-2021,2018-01-02,2021-12-31,1.947785956791023,0.310795322246604,-0.32166154943154857,8.839821644515801,0.2643356182449234,1.156584138561568,0.7097462317525142,0.11626894363309842,0.1830855798000972,1.0850138481082463,0.9326717502289991,7.339504010277546,0.39352521900102594,0.556474780998974,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,10.0,2022,2022-01-03,2022-12-30,-0.10910518133597724,-0.11031606805740912,-0.12229569458960521,12.020100775303103,0.06267776818756053,-1.818155806280485,0.03391548705247881,-0.10229304057068735,0.7276428088830019,0.0,0.17587369188306687,0.7335353185595568,0.015912574067150406,0.9340874259328494,0.05,0.5676470588235294,-0.10910518133597724,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::boxx,hybrid_tqqq_scaling::trend_score_4_boost::boxx,10.0,2023+,2023-01-03,2026-04-02,0.5774345190634582,0.15083779340528802,-0.18579909431407426,8.054592936193039,0.20798839749747655,0.7822207879348718,0.816632966337167,-0.05697308262301701,-0.7855471354563751,0.8876333958951692,1.5559101182993853,9.15099470170893,0.4074728415619563,0.5425271584380438,0.05,0.8835092348284961,,0.15083779340528802,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",BOXX
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,0.0,Full Sample,2018-01-02,2026-04-02,6.411838610633141,0.27494520183566595,-0.42085772445475156,16.497993254636942,0.3342818090693107,0.8967284799300484,1.3203597809458592,0.04385596029023313,0.7865147484605393,1.5131323253221376,1.4688974809092434,7.0298614881352,0.3394691810109143,0.6105308189890856,0.05000000000000001,0.8997591190640056,-0.36288977222484675,0.3331226678728574,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,0.0,2018-2021,2018-01-02,2021-12-31,3.5770813192972053,0.46343534909086115,-0.42085772445475156,10.109257765688124,0.3578885387218169,1.2442307112721,1.3801252831624233,0.07688958373545601,1.1700288610355183,1.6240471185974072,1.5234972118802266,6.954528960861724,0.3667578575565947,0.5832421424434053,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,0.0,2022,2022-01-03,2022-12-30,-0.36288977222484675,-0.3662621823204174,-0.3891399794559439,28.88046066127116,0.3146880028566705,-1.2793149118907687,0.9724259369444054,-0.06812844874927083,-1.400205717155887,0.9513806498497431,1.0619480859217998,0.7335353185595567,0.01588645418326693,0.934113545816733,0.05,0.5676470588235294,-0.36288977222484675,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,0.0,2023+,2023-01-03,2026-04-02,1.5416909859234882,0.3331226678728574,-0.3142321270620666,9.701339775151517,0.3077971929859977,1.0918385636237167,1.4887796558392665,-0.06440168312959937,0.5170473869999664,1.4861526588973162,2.0815974695200348,9.082260589338373,0.4053738171774096,0.5446261828225905,0.05,0.8835092348284961,,0.3331226678728574,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,5.0,Full Sample,2018-01-02,2026-04-02,6.200571714967527,0.27048211467792327,-0.421216153104769,16.57449334392771,0.3342638181696196,0.8862405457941357,1.3202945970699043,0.04034672396933137,0.7604655645404684,1.5066479770140628,1.4746746154772612,7.0298614881352,0.3394691810109143,0.6105308189890856,0.05000000000000001,0.8997591190640056,-0.3631234799056622,0.3270903097871012,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,5.0,2018-2021,2018-01-02,2021-12-31,3.514183252017242,0.45837469783265905,-0.421216153104769,10.133821530584962,0.3578604312402652,1.2346249212128118,1.3800252708713652,0.0734437763389033,1.1474519204274491,1.6175583679884207,1.5293380274942265,6.954528960861724,0.3667578575565947,0.5832421424434053,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,5.0,2022,2022-01-03,2022-12-30,-0.3631234799056622,-0.36649738925265185,-0.38934157993658236,28.90248853684826,0.31469919830298276,-1.280425883013607,0.9724444542900595,-0.06848602410834216,-1.4075985733146248,0.9513806498497431,1.0624494890251421,0.7335353185595567,0.01588645418326693,0.934113545816733,0.05,0.5676470588235294,-0.3631234799056622,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,5.0,2023+,2023-01-03,2026-04-02,1.5045664406954384,0.3270903097871012,-0.31560601686171486,9.779819498332923,0.3077935152523236,1.0770511380414698,1.4887716256318098,-0.06895501227871942,0.4819548024685543,1.478238491843415,2.096448049976104,9.082260589338373,0.4053738171774096,0.5446261828225905,0.05,0.8835092348284961,,0.3270903097871012,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,10.0,Full Sample,2018-01-02,2026-04-02,5.99530530316161,0.2660341799966992,-0.4221142730634563,16.651435093921265,0.33424679531770424,0.8757489462674783,1.3202294131939492,0.03683748764842966,0.734396684447165,1.5001664269807247,1.4804496199452375,7.0298614881352,0.3394691810109143,0.6105308189890856,0.05000000000000001,0.8997591190640056,-0.363357120430144,0.32108466485610654,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
hybrid_tqqq_scaling::trend_score_4_boost::qqq,hybrid_tqqq_scaling::trend_score_4_boost::qqq,10.0,2018-2021,2018-01-02,2021-12-31,3.4521423731805667,0.45333096197500744,-0.42157440046864814,10.158520144172872,0.3578333142065678,1.2250142313674108,1.3799252585803072,0.06999796894235057,1.1248498349540805,1.611072455586179,1.535176680866585,6.954528960861724,0.3667578575565947,0.5832421424434053,0.05,0.9262536873156344,,,hybrid_growth_tqqq_position_scaling,trend_score_4_boost,"Use MA20, MA20>MA60, RSI14>55, MACD bullish as a 4-factor score to scale TQQQ while already in-risk.",QQQ
